[2024-02-14 14:46:31,014: INFO: main: welcome to my log]
[2024-02-14 17:51:22,535: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-02-14 17:51:22,536: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-14 17:51:22,537: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-14 17:51:22,537: INFO: common: created directory at: artifacts]
[2024-02-14 17:51:22,537: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-14 17:51:22,537: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1AL7Q6PKZKfVEMiI1eVGe6kJjkNhZVtDk/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-14 17:52:01,445: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1AL7Q6PKZKfVEMiI1eVGe6kJjkNhZVtDk/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-14 17:52:05,646: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-02-14 19:01:37,951: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-14 19:01:37,953: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-14 19:01:37,954: INFO: common: created directory at: artifacts]
[2024-02-14 19:01:37,954: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-14 19:01:37,954: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1AL7Q6PKZKfVEMiI1eVGe6kJjkNhZVtDk/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-14 19:02:08,570: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1AL7Q6PKZKfVEMiI1eVGe6kJjkNhZVtDk/view?usp=sharing into file artifacts/data_ingestion/data.zip]
